,Category,Rating,reviews,Size,Installs,Type,Price,Content Rating,Genres,pri_genres,sec_genres,Current_Ver,Ver_Mon,Ver_Year,And_1st_Ver,And_Last_Ver
62,AUTO_AND_VEHICLES,4.3,38846.0,8.6,1000000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,2.20 Build 02,7.0,2018.0,4.0,11.0
63,AUTO_AND_VEHICLES,4.6,2431.0,2.4,100000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,1.37,6.0,2018.0,4.0,11.0
64,AUTO_AND_VEHICLES,4.9,6090.0,27.0,100000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,1.7,7.0,2018.0,4.0,11.0
65,AUTO_AND_VEHICLES,3.9,295.0,2.7,10000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,0.2.1,7.0,2018.0,4.0,11.0
66,AUTO_AND_VEHICLES,4.0,190.0,2.5,50000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,1.0,10.0,2016.0,2.0,11.0
67,AUTO_AND_VEHICLES,4.3,40211.0,37.0,5000000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,1.0.0,7.0,2018.0,11.0,11.0
68,AUTO_AND_VEHICLES,3.9,356.0,37.0,100000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,1.0.0,5.0,2018.0,11.0,11.0
69,AUTO_AND_VEHICLES,4.2,52530.0,7.0,5000000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,4.47.3,7.0,2018.0,4.0,11.0
70,AUTO_AND_VEHICLES,4.8,116986.0,35.0,5000000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,1.9.7,8.0,2018.0,4.0,11.0
71,AUTO_AND_VEHICLES,3.6,1379.0,16.0,500000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,2.2.21,8.0,2018.0,4.0,11.0
72,AUTO_AND_VEHICLES,4.2,271920.0,16.0,10000000.0,0.0,0.0,Teen,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,1.0.0,7.0,2018.0,5.0,11.0
73,AUTO_AND_VEHICLES,4.8,736.0,37.0,100000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,2.9,7.0,2018.0,2.0,11.0
74,AUTO_AND_VEHICLES,4.8,7021.0,17.0,500000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,1.79,7.0,2018.0,4.0,11.0
75,AUTO_AND_VEHICLES,4.6,197.0,3.4,50000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,1.3,6.0,2018.0,4.0,11.0
76,AUTO_AND_VEHICLES,4.5,737.0,8.9,100000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,2.3.5.1,6.0,2018.0,4.0,11.0
77,AUTO_AND_VEHICLES,4.3,3574.0,3.9,1000000.0,0.0,0.0,Everyone 10+,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,1.6,7.0,2018.0,4.0,11.0
78,AUTO_AND_VEHICLES,4.5,994.0,2.9,100000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,1.6,3.0,2018.0,4.0,11.0
79,AUTO_AND_VEHICLES,4.9,197136.0,38.0,1000000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,8.31,7.0,2018.0,4.0,11.0
80,AUTO_AND_VEHICLES,3.9,142.0,32.0,50000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,1.1.5.0,7.0,2018.0,6.0,11.0
81,AUTO_AND_VEHICLES,4.4,15168.0,37.0,1000000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,10.0.2,7.0,2018.0,4.0,11.0
82,AUTO_AND_VEHICLES,4.0,2155.0,15.0,500000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,1.10.3,7.0,2018.0,5.0,11.0
83,AUTO_AND_VEHICLES,4.3,138.0,5.4,100000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,1.0,7.0,2018.0,4.0,11.0
84,AUTO_AND_VEHICLES,3.7,5414.0,18.0,1000000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,3.20.1,7.0,2018.0,4.0,11.0
85,AUTO_AND_VEHICLES,4.4,21777.0,37.0,1000000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,1.0.0,8.0,2018.0,11.0,11.0
86,AUTO_AND_VEHICLES,4.3,348.0,38.0,100000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,1.0.3,7.0,2018.0,2.0,11.0
87,AUTO_AND_VEHICLES,3.2,250.0,1.1,100000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,1.4,4.0,2018.0,4.0,11.0
88,AUTO_AND_VEHICLES,4.6,13372.0,37.0,1000000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,1.0.0,8.0,2018.0,11.0,11.0
89,AUTO_AND_VEHICLES,4.6,7880.0,37.0,100000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,4.6.5,5.0,2018.0,11.0,11.0
90,AUTO_AND_VEHICLES,4.5,3617.0,7.9,100000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,2.8.2,5.0,2018.0,4.0,11.0
91,AUTO_AND_VEHICLES,3.7,4806.0,35.0,1000000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,4.0.3,7.0,2018.0,4.0,11.0
92,AUTO_AND_VEHICLES,4.6,65786.0,37.0,1000000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,1.0.0,8.0,2018.0,4.0,11.0
93,AUTO_AND_VEHICLES,4.6,31433.0,17.0,1000000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,1.40,8.0,2018.0,4.0,11.0
94,AUTO_AND_VEHICLES,4.6,5097.0,19.0,1000000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,1.5.18,7.0,2018.0,4.0,11.0
95,AUTO_AND_VEHICLES,4.0,1754.0,14.0,500000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,2.3.4,6.0,2018.0,4.0,11.0
96,AUTO_AND_VEHICLES,4.4,2680.0,2.2,500000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,1.03,3.0,2018.0,4.0,11.0
97,AUTO_AND_VEHICLES,4.0,1288.0,4.5,100000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,2.17,4.0,2018.0,4.0,11.0
98,BEAUTY,4.7,18900.0,17.0,500000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,6.10.1,8.0,2018.0,5.0,11.0
99,BEAUTY,4.9,49790.0,14.0,1000000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,2.3.0,11.0,2017.0,4.0,11.0
100,BEAUTY,4.7,1150.0,9.8,100000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,4.0,5.0,2018.0,4.0,11.0
101,BEAUTY,3.9,1739.0,21.0,500000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,1.0.6,7.0,2018.0,4.0,11.0
102,BEAUTY,3.9,32090.0,37.0,1000000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,1.0.0,10.0,2016.0,11.0,11.0
103,BEAUTY,4.2,2225.0,52.0,500000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,1.6,2.0,2018.0,4.0,11.0
104,BEAUTY,4.6,4369.0,14.0,100000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,1.9,7.0,2018.0,4.0,11.0
105,BEAUTY,4.3,8572.0,25.0,1000000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,1.1.0,5.0,2018.0,4.0,11.0
106,BEAUTY,4.7,964.0,9.0,50000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,4.0,6.0,2018.0,4.0,11.0
107,BEAUTY,4.7,42050.0,37.0,1000000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,5.4,6.0,2018.0,5.0,11.0
108,BEAUTY,4.8,104.0,12.0,10000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,1.3,6.0,2018.0,4.0,11.0
109,BEAUTY,4.2,17934.0,37.0,1000000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,1.0.0,9.0,2017.0,11.0,11.0
110,BEAUTY,4.3,601.0,35.0,100000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,2.0.0,6.0,2018.0,4.0,11.0
111,BEAUTY,4.5,36.0,6.7,10000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,6.0,7.0,2018.0,4.0,11.0
112,BEAUTY,4.1,187.0,30.0,50000.0,0.0,0.0,Teen,Beauty,Beauty,Beauty,3.0.1,7.0,2018.0,4.0,11.0
113,BEAUTY,0.0,182.0,5.7,100000.0,0.0,0.0,Everyone 10+,Beauty,Beauty,Beauty,8.0,9.0,2017.0,3.0,11.0
114,BEAUTY,4.2,30.0,2.9,10000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,3.3.9,4.0,2018.0,4.0,11.0
115,BEAUTY,4.5,134.0,17.0,10000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,1.20,3.0,2018.0,4.0,11.0
116,BEAUTY,4.4,74.0,2.9,10000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,2.3.09,4.0,2018.0,4.0,11.0
117,BEAUTY,4.0,113715.0,37.0,10000000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,1.0.0,8.0,2017.0,11.0,11.0
118,BEAUTY,4.1,3595.0,37.0,500000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,1.0.0,5.0,2018.0,4.0,11.0
119,BEAUTY,4.1,9315.0,2.6,1000000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,1.4.2,11.0,2017.0,4.0,11.0
120,BEAUTY,4.4,75.0,4.2,50000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,1.0.0,10.0,2017.0,4.0,11.0
121,BEAUTY,4.6,38.0,7.1,10000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,1.0,5.0,2018.0,4.0,11.0
122,BEAUTY,4.5,26834.0,57.0,1000000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,18.5,7.0,2018.0,5.0,11.0
123,BEAUTY,0.0,119.0,3.7,50000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,1.3,7.0,2018.0,4.0,11.0
124,BEAUTY,3.9,2277.0,22.0,500000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,1.1.0,7.0,2018.0,4.0,11.0
125,BEAUTY,4.4,2280.0,24.0,500000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,1.1.0,5.0,2018.0,4.0,11.0
126,BEAUTY,0.0,654.0,7.4,100000.0,0.0,0.0,Teen,Beauty,Beauty,Beauty,1.15,7.0,2018.0,4.0,11.0
127,BEAUTY,4.6,184.0,21.0,10000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,1.5,7.0,2018.0,4.0,11.0
128,BEAUTY,3.8,9.0,3.4,5000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,1.0,6.0,2018.0,4.0,11.0
129,BEAUTY,0.0,77.0,2.9,10000.0,0.0,0.0,Mature 17+,Beauty,Beauty,Beauty,2.0,8.0,2017.0,2.0,11.0
130,BEAUTY,0.0,35.0,3.1,10000.0,0.0,0.0,Everyone 10+,Beauty,Beauty,Beauty,2.0,12.0,2017.0,3.0,11.0
131,BEAUTY,4.0,364.0,6.4,100000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,1.1,5.0,2018.0,4.0,11.0
132,BEAUTY,4.3,18.0,3.2,5000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,1.2.13,6.0,2018.0,4.0,11.0
133,BEAUTY,4.5,473.0,8.2,100000.0,0.0,0.0,Mature 17+,Beauty,Beauty,Beauty,1.0.2.0,3.0,2017.0,1.0,11.0
134,BEAUTY,0.0,30.0,9.9,10000.0,0.0,0.0,Mature 17+,Beauty,Beauty,Beauty,3.0,1.0,2018.0,3.0,11.0
135,BEAUTY,4.1,66.0,2.9,10000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,3.1.89,4.0,2018.0,4.0,11.0
136,BEAUTY,3.7,3871.0,23.0,1000000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,2.2.0,7.0,2018.0,4.0,11.0
137,BEAUTY,4.7,257.0,4.6,50000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,1.0,8.0,2017.0,4.0,11.0
138,BEAUTY,4.2,62.0,3.1,10000.0,0.0,0.0,Everyone,Beauty,Beauty,Beauty,1.9.2,5.0,2018.0,4.0,11.0
139,BOOKS_AND_REFERENCE,4.6,2914724.0,37.0,100000000.0,0.0,0.0,Teen,Books & Reference,Books & Reference,Books & Reference,1.0.0,8.0,2018.0,11.0,11.0
140,BOOKS_AND_REFERENCE,4.5,1857.0,4.9,50000.0,0.0,0.0,Everyone,Books & Reference,Books & Reference,Books & Reference,1.3.2,8.0,2018.0,4.0,11.0
141,BOOKS_AND_REFERENCE,4.6,4478.0,9.5,100000.0,0.0,0.0,Everyone 10+,Books & Reference,Books & Reference,Books & Reference,1.1,7.0,2017.0,4.0,11.0
142,BOOKS_AND_REFERENCE,4.4,577550.0,37.0,10000000.0,0.0,0.0,Everyone,Books & Reference,Books & Reference,Books & Reference,1.0.0,8.0,2018.0,11.0,11.0
143,BOOKS_AND_REFERENCE,4.2,814080.0,37.0,100000000.0,0.0,0.0,Teen,Books & Reference,Books & Reference,Books & Reference,1.0.0,7.0,2018.0,11.0,11.0
144,BOOKS_AND_REFERENCE,4.5,246315.0,37.0,10000000.0,0.0,0.0,Everyone,Books & Reference,Books & Reference,Books & Reference,1.0.0,7.0,2015.0,1.0,
145,BOOKS_AND_REFERENCE,4.5,454060.0,37.0,10000000.0,0.0,0.0,Everyone,Books & Reference,Books & Reference,Books & Reference,1.0.0,5.0,2018.0,11.0,11.0
146,BOOKS_AND_REFERENCE,4.5,155446.0,37.0,10000000.0,0.0,0.0,Teen,Books & Reference,Books & Reference,Books & Reference,1.0.0,4.0,2018.0,11.0,11.0
147,BOOKS_AND_REFERENCE,4.5,418.0,4.2,100000.0,0.0,0.0,Everyone,Books & Reference,Books & Reference,Books & Reference,2.1,3.0,2018.0,4.0,11.0
148,BOOKS_AND_REFERENCE,4.4,22486.0,5.4,1000000.0,0.0,0.0,Teen,Books & Reference,Books & Reference,Books & Reference,3.2.1,6.0,2018.0,4.0,11.0
149,BOOKS_AND_REFERENCE,4.5,203130.0,37.0,10000000.0,0.0,0.0,Everyone,Books & Reference,Books & Reference,Books & Reference,1.0.0,6.0,2018.0,11.0,11.0
150,BOOKS_AND_REFERENCE,4.6,1435.0,2.8,500000.0,0.0,0.0,Everyone,Books & Reference,Books & Reference,Books & Reference,1.0,1.0,2018.0,4.0,11.0
151,BOOKS_AND_REFERENCE,4.8,116507.0,5.0,1000000.0,0.0,0.0,Teen,Books & Reference,Books & Reference,Books & Reference,2.0.075,8.0,2018.0,4.0,11.0
152,BOOKS_AND_REFERENCE,3.9,1433233.0,37.0,1000000000.0,0.0,0.0,Teen,Books & Reference,Books & Reference,Books & Reference,1.0.0,8.0,2018.0,11.0,11.0
153,BOOKS_AND_REFERENCE,4.6,90468.0,5.9,5000000.0,0.0,0.0,Everyone,Books & Reference,Books & Reference,Books & Reference,1.911805270,5.0,2018.0,2.0,11.0
154,BOOKS_AND_REFERENCE,4.2,860.0,13.0,100000.0,0.0,0.0,Everyone,Books & Reference,Books & Reference,Books & Reference,1.0,7.0,2018.0,4.0,11.0
