Current_Ver,Ver_Mon,Ver_Year,And_1st_Ver,And_Last_Ver
2.3.09,4.0,2018.0,4.0,11.0
1.0.0,8.0,2017.0,11.0,11.0
1.0.0,5.0,2018.0,4.0,11.0
1.4.2,11.0,2017.0,4.0,11.0
1.0.0,10.0,2017.0,4.0,11.0
1.0,5.0,2018.0,4.0,11.0
18.5,7.0,2018.0,5.0,11.0
1.3,7.0,2018.0,4.0,11.0
1.1.0,7.0,2018.0,4.0,11.0
1.1.0,5.0,2018.0,4.0,11.0
1.15,7.0,2018.0,4.0,11.0
1.5,7.0,2018.0,4.0,11.0
1.0,6.0,2018.0,4.0,11.0
2.0,8.0,2017.0,2.0,11.0
2.0,12.0,2017.0,3.0,11.0
1.1,5.0,2018.0,4.0,11.0
1.2.13,6.0,2018.0,4.0,11.0
1.0.2.0,3.0,2017.0,1.0,11.0
3.0,1.0,2018.0,3.0,11.0
3.1.89,4.0,2018.0,4.0,11.0
2.2.0,7.0,2018.0,4.0,11.0
1.0,8.0,2017.0,4.0,11.0
1.9.2,5.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.3.2,8.0,2018.0,4.0,11.0
1.1,7.0,2017.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,7.0,2015.0,1.0,
1.0.0,5.0,2018.0,11.0,11.0
1.0.0,4.0,2018.0,11.0,11.0
2.1,3.0,2018.0,4.0,11.0
3.2.1,6.0,2018.0,4.0,11.0
1.0.0,6.0,2018.0,11.0,11.0
1.0,1.0,2018.0,4.0,11.0
2.0.075,8.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.911805270,5.0,2018.0,2.0,11.0
1.0,7.0,2018.0,4.0,11.0
9.1.363,7.0,2018.0,4.0,11.0
1.1.6,8.0,2018.0,4.0,11.0
1.0.0,5.0,2018.0,11.0,11.0
2.3.18,7.0,2018.0,4.0,11.0
2.2.5,4.0,2018.0,4.0,11.0
15.0,5.0,2018.0,2.0,11.0
18.05.31+530,6.0,2018.0,4.0,11.0
1.0.0,4.0,2018.0,11.0,11.0
1.0,7.0,2018.0,2.0,11.0
5.0.6,6.0,2018.0,4.0,11.0
1.2.3,7.0,2018.0,4.0,11.0
3.12,6.0,2018.0,4.0,11.0
2.0,11.0,2017.0,4.0,11.0
1.28,6.0,2018.0,3.0,11.0
6.0.8,8.0,2018.0,4.0,11.0
1.0.3,10.0,2014.0,2.0,11.0
1.9,7.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
9.00.950462,8.0,2017.0,7.0,11.0
14.0,3.0,2018.0,4.0,11.0
6.0,5.0,2018.0,4.0,11.0
3.05,8.0,2016.0,4.0,11.0
2.0,7.0,2018.0,3.0,11.0
1.5,6.0,2018.0,3.0,11.0
1.0.0,5.0,2018.0,11.0,11.0
3.0,6.0,2018.0,6.0,11.0
2.5.3,7.0,2018.0,4.0,11.0
7.0.4.6,7.0,2018.0,4.0,11.0
1.15,7.0,2018.0,4.0,11.0
3.1.7.9,2.0,2018.0,2.0,11.0
1.1,8.0,2015.0,5.0,11.0
3.9.1,3.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,5.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
3.4.2,7.0,2018.0,5.0,11.0
1.0.0,5.0,2018.0,11.0,11.0
1.0.0,4.0,2018.0,11.0,11.0
2.19.0.204537701,7.0,2018.0,4.0,11.0
9.7.14188,8.0,2018.0,4.0,11.0
4.9.10,6.0,2018.0,4.0,11.0
5.2.8,7.0,2018.0,5.0,11.0
3.3,7.0,2018.0,4.0,11.0
3.550.2,6.0,2018.0,4.0,11.0
4.6.30,7.0,2018.0,4.0,11.0
2.8,4.0,2016.0,1.0,
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
7.3.21,2.0,2018.0,4.0,11.0
1.1.13,6.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
3.0.1.11 (Build 311),9.0,2015.0,2.0,11.0
5.1.5,7.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
2.3.6,7.0,2018.0,4.0,11.0
4.1.28165.0716,7.0,2018.0,4.0,11.0
1.0.0,6.0,2018.0,11.0,11.0
99.0.0.35.75,8.0,2018.0,4.0,11.0
12.2.4,8.0,2018.0,4.0,11.0
1.0.6.8,8.0,2018.0,4.0,11.0
3.4.5,7.0,2018.0,4.0,11.0
2.5.6,8.0,2018.0,4.0,11.0
1.12.5,7.0,2018.0,4.0,11.0
1.5,6.0,2018.0,4.0,11.0
1.0.0,2.0,2018.0,4.0,11.0
4.9,3.0,2018.0,2.0,11.0
0.9.4,7.0,2018.0,4.0,11.0
1.1.07.6,1.0,2018.0,7.0,11.0
1.0.0,6.0,2018.0,11.0,11.0
1.0.5,4.0,2018.0,6.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,2.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.2.6,5.0,2017.0,3.0,11.0
3.9.2,7.0,2018.0,4.0,11.0
3.4.49,8.0,2018.0,4.0,11.0
1.5.2,3.0,2018.0,4.0,11.0
3.4.6,4.0,2017.0,3.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
3.2.1,6.0,2018.0,4.0,11.0
1.12.0,7.0,2018.0,4.0,11.0
2.19.0.204537701,7.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.7.14,4.0,2018.0,4.0,11.0
3.24.1,7.0,2018.0,5.0,11.0
18.7,7.0,2018.0,4.0,11.0
3.19.005,7.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
4.9.1,7.0,2018.0,5.0,11.0
6.1.2,7.0,2018.0,4.0,11.0
6.4.4,7.0,2018.0,5.0,11.0
3.7.5,2.0,2018.0,4.0,11.0
2.6.158,7.0,2018.0,4.0,11.0
5.20.7,8.0,2018.0,4.0,11.0
5.20.7,8.0,2018.0,4.0,11.0
4.3.0.508,7.0,2018.0,4.0,11.0
10.46.2,8.0,2018.0,4.0,11.0
11.1.0,7.0,2018.0,4.0,11.0
4.1.28165.0716,7.0,2018.0,4.0,11.0
1.2.287,3.0,2018.0,5.0,11.0
3.0.4651,8.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
3.1.4.0,5.0,2018.0,4.0,11.0
4.3.0.508,7.0,2018.0,4.0,11.0
3.3.0,7.0,2018.0,4.0,11.0
2.22.397,6.0,2018.0,5.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
3.2.1,6.0,2018.0,4.0,11.0
1.12.0,7.0,2018.0,4.0,11.0
2.19.0.204537701,7.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.7.14,4.0,2018.0,4.0,11.0
3.24.1,7.0,2018.0,5.0,11.0
18.7,7.0,2018.0,4.0,11.0
3.19.005,7.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
4.9.1,7.0,2018.0,5.0,11.0
6.1.2,7.0,2018.0,4.0,11.0
6.4.4,7.0,2018.0,5.0,11.0
3.7.5,2.0,2018.0,4.0,11.0
2.6.158,7.0,2018.0,4.0,11.0
5.20.7,8.0,2018.0,4.0,11.0
5.20.7,8.0,2018.0,4.0,11.0
4.3.0.508,7.0,2018.0,4.0,11.0
10.46.2,8.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,2.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.2.6,5.0,2017.0,3.0,11.0
3.9.2,7.0,2018.0,4.0,11.0
3.4.49,8.0,2018.0,4.0,11.0
1.5.2,3.0,2018.0,4.0,11.0
3.4.6,4.0,2017.0,3.0,11.0
1.0.0,4.0,2018.0,11.0,11.0
9.7.14188,8.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
2.0.19,7.0,2018.0,5.0,11.0
18.7,7.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.1.7.0,7.0,2018.0,4.0,11.0
2.11.3,7.0,2018.0,4.0,11.0
1.08,11.0,2017.0,4.0,11.0
1.0.6,8.0,2018.0,4.0,11.0
1.0.8,8.0,2018.0,4.0,11.0
1.5,7.0,2018.0,4.0,11.0
3.4.3_world,7.0,2018.0,5.0,11.0
1.0,7.0,2018.0,4.0,11.0
1.0,12.0,2017.0,2.0,11.0
1.9,7.0,2018.0,4.0,11.0
1.1,7.0,2018.0,4.0,11.0
3.0,7.0,2018.0,4.0,11.0
1.2.12,3.0,2018.0,4.0,11.0
6.3.0,7.0,2018.0,4.0,11.0
1.0,5.0,2018.0,4.0,11.0
2.3.1,7.0,2018.0,4.0,11.0
3.1.0,5.0,2018.0,4.0,11.0
1.0.0,6.0,2018.0,11.0,11.0
4.7.3,7.0,2018.0,4.0,11.0
3.16.0,7.0,2018.0,4.0,11.0
4.1.0,7.0,2018.0,4.0,11.0
1.6,12.0,2017.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
6.1.1,7.0,2018.0,4.0,11.0
1.7.7,5.0,2018.0,4.0,11.0
1.0,5.0,2018.0,4.0,11.0
5.0.12,7.0,2018.0,5.0,11.0
1.0.4,7.0,2018.0,4.0,11.0
4.3.0,7.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.3,3.0,2018.0,4.0,11.0
2.0,6.0,2018.0,4.0,11.0
4.2.0.2,8.0,2018.0,2.0,11.0
1.01,6.0,2018.0,4.0,11.0
2.3.3,8.0,2018.0,4.0,11.0
1.4,5.0,2018.0,4.0,11.0
2.4.25,8.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.8.9,6.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
37.0.0.7.163,7.0,2018.0,2.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
2.4.1,8.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
5.29.3,7.0,2018.0,4.0,11.0
9.8.000000010492,6.0,2018.0,4.0,11.0
9.8.000000010501,6.0,2018.0,4.0,11.0
2.8.4.201036949,6.0,2018.0,5.0,11.0
1.3.4,7.0,2018.0,4.0,11.0
11.8.6,7.0,2018.0,4.0,7.0
1.0.0,7.0,2018.0,11.0,11.0
24.6.6,6.0,2018.0,4.0,7.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
3.2.0.100171,7.0,2018.0,4.0,11.0
47.1.2249.129326,7.0,2018.0,11.0,11.0
R6.0.3,7.0,2018.0,4.0,11.0
5.2,7.0,2018.0,5.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
69.0.3497.24,8.0,2018.0,11.0,11.0
1.0.0,10.0,2016.0,11.0,11.0
6.7.9.1,8.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.60.0.31354-release,7.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
11.4.0,7.0,2018.0,4.0,11.0
2.18.116,7.0,2018.0,4.0,11.0
7.5.1,6.0,2018.0,5.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
37.1.206017801.DR37_RC14,7.0,2018.0,4.0,11.0
7.5.3.20547,7.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
2.1,7.0,2018.0,4.0,11.0
1.0.0,6.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
2.2.7600,11.0,2016.0,4.0,11.0
12.8.5.1121,8.0,2018.0,4.0,11.0
9.9.0,6.0,2018.0,4.0,11.0
42.0.0.2059,7.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
9.8.000000010501,6.0,2018.0,4.0,11.0
0.1.100944346,9.0,2015.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
6.1,7.0,2018.0,4.0,11.0
3.0.4,4.0,2018.0,4.0,11.0
7.3(800241),7.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
7.73,8.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
4.98,8.0,2018.0,2.0,11.0
7.21,7.0,2018.0,2.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
3.47,7.0,2018.0,4.0,11.0
1.0.0,1.0,2018.0,4.0,11.0
1.0.0,5.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
6.5.1,7.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
5.2,7.0,2018.0,5.0,11.0
5.65.0,8.0,2018.0,4.0,11.0
1.0.0,1.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
5.22.18.0006,7.0,2018.0,4.0,11.0
7.5.3.20547,7.0,2018.0,4.0,11.0
47.1.2249.129326,7.0,2018.0,11.0,11.0
6.1,8.0,2017.0,2.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
11.4.0,7.0,2018.0,4.0,11.0
12.8.5.1121,8.0,2018.0,4.0,11.0
1.4.1.0,3.0,2018.0,4.0,11.0
1.0.0,5.0,2018.0,11.0,11.0
2.2,6.0,2018.0,4.0,11.0
6.4.0.4,4.0,2016.0,4.0,11.0
4.5.1,7.0,2017.0,4.0,11.0
2.0,2.0,2015.0,3.0,11.0
7.5.3.20547,7.0,2018.0,4.0,11.0
5.85.1,7.0,2018.0,4.0,11.0
196,3.0,2017.0,2.0,11.0
3.0.4,4.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
3.0.7,4.0,2018.0,4.0,11.0
1.26.001,1.0,2018.0,4.0,11.0
3.5.0,5.0,2018.0,4.0,11.0
8.1.2-6310,7.0,2018.0,5.0,11.0
5.86,7.0,2018.0,4.0,11.0
5.1.2-6310,7.0,2018.0,5.0,11.0
2018.1.715,7.0,2018.0,4.0,11.0
3.9.7,12.0,2017.0,2.0,11.0
1.286,7.0,2018.0,4.0,11.0
6.19.1,8.0,2018.0,4.0,11.0
1.0.0,6.0,2018.0,11.0,11.0
1.0.0,5.0,2018.0,11.0,11.0
2.17.3,7.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
2.2.245,1.0,2018.0,4.0,11.0
4.5.4,7.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
5.28.0,6.0,2016.0,2.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
5.29.3,7.0,2018.0,4.0,11.0
5.403,1.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.9.4.74,8.0,2018.0,4.0,11.0
5.0.9,4.0,2018.0,4.0,11.0
9.8.376,7.0,2018.0,5.0,11.0
2.8,7.0,2014.0,2.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
2.3,4.0,2017.0,2.0,11.0
3.2.0,6.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
2.3.17,8.0,2017.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
9.8.000000010501,6.0,2018.0,4.0,11.0
7.3(800241),7.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
2.9.8,9.0,2016.0,2.0,11.0
7.2.29,8.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,5.0,2018.0,11.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
2.6.139,6.0,2018.0,4.0,11.0
1.1.6,10.0,2017.0,4.0,11.0
1.0,9.0,2017.0,4.0,11.0
1.0.1,7.0,2017.0,4.0,11.0
1.2,8.0,2018.0,4.0,11.0
1.0.1,1.0,2017.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
11.10.1,7.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
2.5.2,8.0,2018.0,4.0,11.0
6.1.3,8.0,2018.0,5.0,11.0
4.17.2,7.0,2018.0,4.0,11.0
3.5.0.1,7.0,2018.0,4.0,11.0
2.6.141,8.0,2018.0,4.0,11.0
4.19.0.2320,8.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
6.6.5,7.0,2018.0,4.0,11.0
1.639,8.0,2018.0,4.0,11.0
1.6.1,7.0,2018.0,4.0,11.0
2.5.1,7.0,2018.0,4.0,11.0
1.9.7,7.0,2018.0,4.0,11.0
4.4B,8.0,2018.0,4.0,11.0
1.308.us,8.0,2018.0,4.0,11.0
2.4.1,7.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
5.0.1,1.0,2017.0,4.0,11.0
4.17.2,7.0,2018.0,4.0,11.0
2.45,7.0,2018.0,4.0,11.0
1.6.1,7.0,2018.0,4.0,11.0
4.5.5,7.0,2018.0,4.0,11.0
1.0.4,6.0,2018.0,4.0,11.0
1.2.1,6.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
4.0.18,6.0,2018.0,4.0,11.0
1.6.5,2.0,2017.0,4.0,11.0
1.31.4,7.0,2018.0,4.0,11.0
1.230,7.0,2018.0,4.0,11.0
1.9.7,7.0,2018.0,4.0,11.0
2.2,2.0,2016.0,4.0,11.0
4.17.2,7.0,2018.0,4.0,11.0
4.1.2,6.0,2018.0,4.0,11.0
15.8,6.0,2018.0,4.0,11.0
6.3.7,7.0,2018.0,5.0,11.0
1.9.7,7.0,2018.0,4.0,11.0
4.8.5,7.0,2018.0,4.0,11.0
6.4.6,7.0,2018.0,4.0,11.0
2.3.0.1781,6.0,2018.0,5.0,11.0
4.3,5.0,2018.0,4.0,11.0
2.9.6,5.0,2018.0,4.0,11.0
3.8.75a,7.0,2018.0,4.0,11.0
1.0.0,1.0,2017.0,4.0,11.0
3.0.0,12.0,2017.0,4.0,11.0
1.0,11.0,2017.0,4.0,11.0
1.0.5,12.0,2017.0,4.0,11.0
1.31.3,7.0,2018.0,4.0,11.0
1.6.6,1.0,2017.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.5,2.0,2017.0,4.0,11.0
2.0.5,6.0,2018.0,4.0,11.0
1.31.3,7.0,2018.0,4.0,11.0
2.2.0.1748,6.0,2018.0,5.0,11.0
3.0.15,5.0,2018.0,4.0,11.0
2.4.0,4.0,2018.0,4.0,11.0
2.0.0,3.0,2018.0,4.0,11.0
1.55,8.0,2018.0,4.0,11.0
12.0.4,7.0,2018.0,4.0,11.0
11.10.1,7.0,2018.0,4.0,11.0
4.19.0.2320,8.0,2018.0,4.0,11.0
2.5.2,8.0,2018.0,4.0,11.0
6.1.3,8.0,2018.0,5.0,11.0
1.15.0,7.0,2018.0,4.0,11.0
3.5.0.1,7.0,2018.0,4.0,11.0
4.17.2,7.0,2018.0,4.0,11.0
4.8.5,7.0,2018.0,4.0,11.0
2.5.1,7.0,2018.0,4.0,11.0
2.6.141,8.0,2018.0,4.0,11.0
6.4.1,8.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
6.3.7,7.0,2018.0,5.0,11.0
5.2.14,8.0,2018.0,5.0,11.0
2.45,7.0,2018.0,4.0,11.0
4.1.2,6.0,2018.0,4.0,11.0
3.8.75a,7.0,2018.0,4.0,11.0
8.7.2,8.0,2018.0,4.0,11.0
1.6.1,7.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
4.17.2,7.0,2018.0,4.0,11.0
1.1.46,7.0,2018.0,4.0,11.0
4.5.5,7.0,2018.0,4.0,11.0
2.4.1,7.0,2018.0,4.0,11.0
6.4.6,7.0,2018.0,4.0,11.0
2.8.0,7.0,2018.0,4.0,11.0
4.17.2,7.0,2018.0,4.0,11.0
3.0.0,7.0,2018.0,4.0,11.0
3.4.1.1,8.0,2018.0,4.0,11.0
2.6.139,6.0,2018.0,4.0,11.0
4.8.5,7.0,2018.0,4.0,11.0
5.5.7,5.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.31.4,7.0,2018.0,4.0,11.0
15.8,6.0,2018.0,4.0,11.0
1.5.4.0,7.0,2018.0,4.0,11.0
4.9.2 (Oasis),6.0,2018.0,4.0,11.0
1.31.3,7.0,2018.0,4.0,11.0
2.0.0,3.0,2018.0,4.0,11.0
3.10.5,8.0,2018.0,4.0,11.0
2.2.7,7.0,2018.0,4.0,11.0
1.17,7.0,2018.0,4.0,11.0
3.1.3,7.0,2018.0,4.0,11.0
0.0.73,7.0,2018.0,4.0,11.0
2.0.5,6.0,2018.0,4.0,11.0
4.7.6,7.0,2018.0,4.0,11.0
1.0,11.0,2017.0,4.0,11.0
5.2.9,7.0,2018.0,4.0,11.0
2.9.6,5.0,2018.0,4.0,11.0
4.3.2,5.0,2018.0,4.0,11.0
3.9.2,3.0,2018.0,4.0,11.0
3.6.3,7.0,2018.0,4.0,11.0
4.4.1,2.0,2018.0,4.0,11.0
5.16.2,6.0,2018.0,4.0,11.0
1.31.3,7.0,2018.0,4.0,11.0
5.3.3.13289,4.0,2018.0,4.0,11.0
1.17,7.0,2018.0,4.0,11.0
3.0.0,6.0,2017.0,4.0,11.0
5.0.8,8.0,2018.0,4.0,11.0
0.1.11,4.0,2018.0,4.0,11.0
1.4.0,7.0,2018.0,4.0,11.0
1.0.1,7.0,2018.0,4.0,11.0
2.4,7.0,2018.0,4.0,11.0
2.5,7.0,2018.0,4.0,11.0
8.2,7.0,2018.0,4.0,11.0
8.2,7.0,2018.0,4.0,11.0
1.0,7.0,2018.0,4.0,11.0
